web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1727020215-1","https://www.klikindomaret.com/category/sarapan","Uray 100% Natural Honey 150G","60%
Rp 24.900","Rp 9.900"
"1727020215-2","https://www.klikindomaret.com/category/sarapan","Puck Cream Cheese Spread 140G","37%
Rp 31.300","Rp 19.800"
"1727020215-3","https://www.klikindomaret.com/category/sarapan","Champion Cereal Instant 4 In 1 10X30G","26%
Rp 25.400","Rp 18.800"
"1727020215-4","https://www.klikindomaret.com/category/sarapan","Air Mancur Madurasa Original 150G","25%
Rp 15.900","Rp 11.900"
"1727020215-5","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Milky Soft","23%
Rp 13.000","Rp 10.000"
"1727020215-6","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meisis Mix 225G","22%
Rp 13.900","Rp 10.900"
"1727020215-7","https://www.klikindomaret.com/category/sarapan","Indomaret Coklat Meises 200g","22%
Rp 13.900","Rp 10.900"
"1727020215-8","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 70G","20%
Rp 9.700","Rp 7.800"
"1727020215-9","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Kurma Tj 150G","19%
Rp 26.500","Rp 21.500"
"1727020215-10","https://www.klikindomaret.com/category/sarapan","Milo Cereal Balls Combo Pack Coklat 30G","18%
Rp 9.300","Rp 7.600"
"1727020215-11","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 500G","17%
Rp 72.300","Rp 59.800"
"1727020215-12","https://www.klikindomaret.com/category/sarapan","Energen Cereal Instant Kacang Hijau 10X35G","15%
Rp 23.500","Rp 19.900"
"1727020215-13","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 10X35g","15%
Rp 23.500","Rp 19.900"
"1727020215-14","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Vanila 10X34g","15%
Rp 23.500","Rp 19.900"
"1727020215-15","https://www.klikindomaret.com/category/sarapan","Quaker Oatmeal Instant Merah 800G","15%
Rp 53.900","Rp 45.800"
"1727020215-16","https://www.klikindomaret.com/category/sarapan","Goldenfil Spread Choco Crunchy 350g","15%
Rp 33.800","Rp 28.800"
"1727020215-17","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Coklat 34G","15%
Rp 8.000","Rp 6.800"
"1727020215-18","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips + Kalsium Susu Putih 34G","15%
Rp 8.000","Rp 6.800"
"1727020215-19","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Strawberry 34G","15%
Rp 8.000","Rp 6.800"
"1727020215-20","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Pineapple 170G","11%
Rp 14.500","Rp 12.900"
"1727020215-21","https://www.klikindomaret.com/category/sarapan","Indomaret Jam Strawberry 170G","11%
Rp 14.500","Rp 12.900"
"1727020215-22","https://www.klikindomaret.com/category/sarapan","Diabetasol Zero Calorie Sweetener 50'S 50X1g","10%
Rp 42.200","Rp 37.800"
"1727020215-23","https://www.klikindomaret.com/category/sarapan","Diabetamil Sweetener 50G","10%
Rp 30.800","Rp 27.800"
"1727020215-24","https://www.klikindomaret.com/category/sarapan","Indomaret Chocolate Meises 80G","9%
Rp 6.900","Rp 6.300"
"1727020215-25","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Cheese 60G","","Rp 7.000"
"1727020215-26","https://www.klikindomaret.com/category/sarapan","5 Days Croissant Pandan Srikaya 60G","","Rp 7.000"
"1727020215-27","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis 5'S Cream Messes 200G","","Rp 16.000"
"1727020215-28","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Choco Roll","","Rp 7.000"
"1727020215-29","https://www.klikindomaret.com/category/sarapan","Arnon Roti Manis Cream Meises 40G","","Rp 4.000"
"1727020215-30","https://www.klikindomaret.com/category/sarapan","Bella Spread Choco Cashew 300G","","Rp 33.500"
"1727020215-31","https://www.klikindomaret.com/category/sarapan","Budy Jam Pindekas 120G","","Rp 16.900"
"1727020215-32","https://www.klikindomaret.com/category/sarapan","Budy Jam Selai Coklat 150G","","Rp 14.900"
"1727020215-33","https://www.klikindomaret.com/category/sarapan","Budy Jam Strawberry 150G","","Rp 11.900"
"1727020215-34","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Choco Hazelnut 180G","","Rp 31.500"
"1727020215-35","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Double Hazelnut 350G","","Rp 46.700"
"1727020215-36","https://www.klikindomaret.com/category/sarapan","Ceres Choco Spread Duo Milk Hazelnut 350G","","Rp 46.700"
"1727020215-37","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 200G","","Rp 23.000"
"1727020215-38","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Classic 80G","","Rp 10.800"
"1727020215-39","https://www.klikindomaret.com/category/sarapan","Ceres Hagelslag Rice Choco Festive 80G","","Rp 10.800"
"1727020215-40","https://www.klikindomaret.com/category/sarapan","Energen Cereal & Susu Instant Vanilla 5X32G","","Rp 11.500"
"1727020215-41","https://www.klikindomaret.com/category/sarapan","Energen Sereal & Susu Cokelat 5X34g","","Rp 11.500"
"1727020215-42","https://www.klikindomaret.com/category/sarapan","Fitbar Cheese Fitbar 20G","","Rp 5.500"
"1727020215-43","https://www.klikindomaret.com/category/sarapan","Fitbar Chocolate Fitbar 20G","","Rp 5.500"
"1727020215-44","https://www.klikindomaret.com/category/sarapan","Fitbar Fruit Fitbar Kismis Raspbery 20G","","Rp 5.500"
"1727020215-45","https://www.klikindomaret.com/category/sarapan","Fitbar Tiramisu Fitbar 20G","","Rp 5.500"
"1727020215-46","https://www.klikindomaret.com/category/sarapan","Indomaret Madu Asli 250G","","Rp 37.900"
"1727020215-47","https://www.klikindomaret.com/category/sarapan","Indomaret Spread Chocolate 160G","","Rp 19.200"
"1727020215-48","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Coco Fills 60G","","Rp 10.900"
"1727020215-49","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Corn Flakes Honey Crunch 55G","","Rp 10.900"
"1727020215-50","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 150G","","Rp 25.900"
"1727020215-51","https://www.klikindomaret.com/category/sarapan","Kellogg's Cereal Froot Loops 55G","","Rp 10.900"
"1727020215-52","https://www.klikindomaret.com/category/sarapan","L'agie Choco Chips 45G","","Rp 5.500"
"1727020215-53","https://www.klikindomaret.com/category/sarapan","L'agie Hegel-Slag Safari Polos 100G","","Rp 7.000"
"1727020215-54","https://www.klikindomaret.com/category/sarapan","Milo Sereal Bar Cokelat 23.5G","","Rp 7.900"
"1727020215-55","https://www.klikindomaret.com/category/sarapan","Morin Jam Blueberry 170G","","Rp 29.700"
"1727020215-56","https://www.klikindomaret.com/category/sarapan","Morin Jam Choco Peanut 150G","","Rp 26.600"
"1727020215-57","https://www.klikindomaret.com/category/sarapan","Morin Jam Hazelnut With Cocoa 150G","","Rp 29.100"
"1727020215-58","https://www.klikindomaret.com/category/sarapan","Morin Jam Peanut Butter 150G","","Rp 25.000"
"1727020215-59","https://www.klikindomaret.com/category/sarapan","Morin Jam Strawberry 170G","","Rp 25.000"
"1727020215-60","https://www.klikindomaret.com/category/sarapan","Morin Kaya Spread 170G","","Rp 21.000"
"1727020215-61","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Kasur","","Rp 15.000"
"1727020215-62","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Isi Coklat Keju","","Rp 6.500"
"1727020215-63","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Manis Sobek Keju","","Rp 15.000"
"1727020215-64","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar","","Rp 12.000"
"1727020215-65","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar 4'S Choco Chips","","Rp 8.000"
"1727020215-66","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Gandum Multiseed","","Rp 18.500"
"1727020215-67","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Kupas","","Rp 16.500"
"1727020215-68","https://www.klikindomaret.com/category/sarapan","Mr.Bread Roti Tawar Tebal","","Rp 17.500"
"1727020215-69","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Honey Stars 30G","","Rp 9.100"
"1727020215-70","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Combo Pack Koko Krunch 30G","","Rp 9.100"
"1727020215-71","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Double Choco Koko Krunch 30G","","Rp 9.100"
"1727020215-72","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Honey Stars 70G","","Rp 12.500"
"1727020215-73","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Koko Krunch 150g","","Rp 23.300"
"1727020215-74","https://www.klikindomaret.com/category/sarapan","Nestle Koko Krunch Cereal Bar Cookie 14.5G","","Rp 3.900"
"1727020215-75","https://www.klikindomaret.com/category/sarapan","Nutella Jam Spread Kecil Hazelnut 200G","","Rp 44.000"
"1727020215-76","https://www.klikindomaret.com/category/sarapan","Ovomaltine Crunchy Cream 230G","","Rp 59.000"
"1727020215-77","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Custard Pisang & Cokelat","","Rp 4.000"
"1727020215-78","https://www.klikindomaret.com/category/sarapan","Prime Bread Duo Mentega Gula & Chocochip","","Rp 4.000"
"1727020215-79","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Cokelat 50G","","Rp 4.500"
"1727020215-80","https://www.klikindomaret.com/category/sarapan","Prime Bread Prime Choco Isi Krim Tiramisu 50G","","Rp 4.500"
"1727020215-81","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Cokelat","","Rp 3.500"
"1727020215-82","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Jagung Manis","","Rp 3.500"
"1727020215-83","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Keju","","Rp 3.500"
"1727020215-84","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Moka","","Rp 3.500"
"1727020215-85","https://www.klikindomaret.com/category/sarapan","Prime Bread Roti Manis Isi Krim Vanila","","Rp 3.500"
"1727020215-86","https://www.klikindomaret.com/category/sarapan","Quaker Instant Oatmeal (Reff) Merah 200G","","Rp 13.900"
"1727020215-87","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Cokelat 8X28G","","Rp 27.200"
"1727020215-88","https://www.klikindomaret.com/category/sarapan","Quaker Minuman Sereal 3 In 1 Vanilla 8X28G","","Rp 27.200"
"1727020215-89","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Brownies 54G","","Rp 14.000"
"1727020215-90","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Red Velvet 54G","","Rp 16.500"
"1727020215-91","https://www.klikindomaret.com/category/sarapan","Sari Kue International Cake Triple Choco 54G","","Rp 16.500"
"1727020215-92","https://www.klikindomaret.com/category/sarapan","Sari Roti Dorayaki Coklat 55G","","Rp 6.000"
"1727020215-93","https://www.klikindomaret.com/category/sarapan","Sari Roti Lapis Bamkuhen","","Rp 10.000"
"1727020215-94","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Bun 55g","","Rp 5.000"
"1727020215-95","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Choco Cheese Bun 55G","","Rp 5.000"
"1727020215-96","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Kasur Keju 180G","","Rp 13.000"
"1727020215-97","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Coklat 114G","","Rp 10.000"
"1727020215-98","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Keju 107G","","Rp 10.500"
"1727020215-99","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Manis Sobek Duo Cokelat Srikaya 108G","","Rp 10.500"
"1727020215-100","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft","","Rp 20.000"
"1727020215-101","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Double Soft Premium","","Rp 24.000"
"1727020215-102","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Gandum","","Rp 22.000"
"1727020215-103","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Jumbo Special","","Rp 18.000"
"1727020215-104","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Kupas Extra Kalsium 200G","","Rp 17.500"
"1727020215-105","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Pandan","","Rp 16.500"
"1727020215-106","https://www.klikindomaret.com/category/sarapan","Sari Roti Roti Tawar Special","","Rp 15.000"
"1727020215-107","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Cheese 72G","","Rp 5.000"
"1727020215-108","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Choco","","Rp 5.000"
"1727020215-109","https://www.klikindomaret.com/category/sarapan","Sari Roti Sandroll Zuperr Krim Mocha","","Rp 5.000"
"1727020215-110","https://www.klikindomaret.com/category/sarapan","Sharon Dora Yaki Chocolate 65G","","Rp 6.000"
"1727020215-111","https://www.klikindomaret.com/category/sarapan","Sharon Roombutter Cheese 200G","","Rp 17.000"
"1727020215-112","https://www.klikindomaret.com/category/sarapan","Sharon Roti Manis Creme Messes 200G","","Rp 16.000"
"1727020215-113","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Cokelat 80G","","Rp 9.300"
"1727020215-114","https://www.klikindomaret.com/category/sarapan","Simba Cereal Choco Chips Coklat 150G","","Rp 21.900"
"1727020215-115","https://www.klikindomaret.com/category/sarapan","Skippy Jam Chunky Peanut Butter 170G","","Rp 28.500"
"1727020215-116","https://www.klikindomaret.com/category/sarapan","Skippy Jam Creamy Peanut Butter 170G","","Rp 28.500"
"1727020215-117","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Coklat Almond 30G","","Rp 9.600"
"1727020215-118","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Raisin Almond 30G","","Rp 9.600"
"1727020215-119","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Strawberry 30G","","Rp 9.600"
"1727020215-120","https://www.klikindomaret.com/category/sarapan","Soyjoy Fruit Soy Bar Tropical Cranberries 30G","","Rp 9.600"
"1727020215-121","https://www.klikindomaret.com/category/sarapan","Tresno Joyo Madu Tj Murni 150G","","Rp 26.500"
"1727020215-122","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener 50X2.5G","","Rp 52.000"
"1727020215-123","https://www.klikindomaret.com/category/sarapan","Tropicana Slim Sweetener No Calori Diabetics 50X2g","","Rp 53.900"
"1727020215-124","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast Cookie Koko Krunch 30G","","Rp 9.500"
"1727020215-125","https://www.klikindomaret.com/category/sarapan","Nestle Cereal Breakfast School Pack 75g","","Rp 14.500"
